Comment,Designator,Footprint,LCSC
8MHz,Y1,Crystal_SMD_HC49-SD,C12674
MCP2515-xST,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C15193
0.1uF,"C3,C4,C6",C_0603_1608Metric,C1525
22pF,"C1,C2",C_0603_1608Metric,C1653
120,R4,R_0603_1608Metric,C22787
10k,R3,R_0603_1608Metric,C25804
Conn_01x03_Pin,J1,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,C2982032
10uF/16V,C5,CP_EIA-3216-18_Kemet-A,C7171
24k/1W,"R1,R2",R_2512_6332Metric,C728156
SN74LVC1G14DBV,U4,SOT-23-5,C7835
6N137S,U3,SMDIP-8_W9.53mm,C898988
TJA1051T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C92211
