Comment,Designator,Footprint,LCSC
8MHz,Y1,Crystal_SMD_HC49-SD,C12674
0.1uF,"C1,C2",C_0603_1608Metric,C14663
MCP2515-xST,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C15193
1nF,"C4,C7",C_0603_1608Metric,C1588
22pF,"C5,C6",C_0603_1608Metric,C1653
1M,"R1,R4",R_0603_1608Metric,C17927
120,R2,R_0603_1608Metric,C22787
10k,R3,R_0603_1608Metric,C25804
Conn_01x09_Pin,"J1,J4",Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,C2982038
10uF/16V,C3,CP_EIA-3216-18_Kemet-A,C7171
TJA1051T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C92211
