Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,13.138,29.619,90.0,top
C2,0.1uF,C_0603_1608Metric,23.311,31.384,180.0,top
C3,10uF/16V,CP_EIA-3216-18_Kemet-A,15.17,30.448,90.0,top
C5,22pF,C_0603_1608Metric,10.852,42.052,0.0,top
C6,22pF,C_0603_1608Metric,2.923,42.052,0.0,top
J4,Conn_01x03_Pin,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,56.27,16.96,-90.0,top
R3,120,R_0603_1608Metric,45.25,32.0,90.0,top
R4,10k,R_0603_1608Metric,17.202,29.669,90.0,top
U1,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,8.058,31.892,-90.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,23.552,36.21,90.0,top
Y1,8MHz,Crystal_SMD_HC49-SD,7.55,38.496,180.0,top
