Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,20.0,11.0,90.0,top
C2,22pF,C_0603_1608Metric,20.0,4.25,90.0,top
C3,22pF,C_0603_1608Metric,71.914,5.475,-90.0,top
C4,22pF,C_0603_1608Metric,71.914,12.25,-90.0,top
C5,0.1uF,C_0603_1608Metric,32.25,13.25,180.0,top
C6,0.1uF,C_0603_1608Metric,32.25,24.75,-90.0,top
C7,10uF/16V,CP_EIA-3216-18_Kemet-A,31.75,15.5,180.0,top
C8,0.1uF,C_0603_1608Metric,68.75,34.0,0.0,top
C9,0.1uF,C_0603_1608Metric,59.5,2.5,0.0,top
C10,10uF/16V,CP_EIA-3216-18_Kemet-A,63.5,2.25,0.0,top
J4,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,59.89,56.06,0.0,top
J5,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,31.95,56.06,0.0,top
R1,10k,R_0603_1608Metric,36.25,14.75,-90.0,top
R2,10k,R_0603_1608Metric,56.75,2.0,90.0,top
R3,10k,R_0603_1608Metric,30.68,49.5,90.0,top
R4,2.7k,R_0603_1608Metric,33.22,49.499,-90.0,top
R5,10k,R_0603_1608Metric,58.62,49.119,-90.0,top
R6,10k,R_0603_1608Metric,61.16,49.119,90.0,top
U1,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,30.1035,8.837,0.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,27.443,24.671,180.0,top
U3,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,61.8535,6.895,180.0,top
U4,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,68.75,29.37,-90.0,top
Y1,8MHz,Crystal_SMD_HC49-SD,23.5,7.5,-90.0,top
Y2,8MHz,Crystal_SMD_HC49-SD,68.5,8.819,90.0,top
