Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,12.0,44.5,0.0,top
C2,22pF,C_0603_1608Metric,4.0,44.5,0.0,top
C3,0.1uF,C_0603_1608Metric,12.5,32.0,90.0,top
C4,0.1uF,C_0603_1608Metric,20.25,36.5,90.0,top
C5,10uF/16V,CP_EIA-3216-18_Kemet-A,14.5,32.0,90.0,top
C6,0.1uF,C_0603_1608Metric,60.0,11.465,180.0,top
J1,Conn_01x03_Pin,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,62.02,31.46,-90.0,top
R1,24k/1W,R_2512_6332Metric,56.0,31.04,-90.0,top
R2,24k/1W,R_2512_6332Metric,50.0,31.04,-90.0,top
R3,10k,R_0603_1608Metric,17.0,32.0,-90.0,top
R4,120,R_0603_1608Metric,32.0,33.75,0.0,top
U1,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,8.0,34.0,-90.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,25.25,36.25,0.0,top
U3,6N137S,SMDIP-8_W9.53mm,57.0,18.465,-90.0,top
U4,SN74LVC1G14DBV,SOT-23-5,55.0,7.5,-90.0,top
Y1,8MHz,Crystal_SMD_HC49-SD,8.0,41.0,180.0,top
