Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x09_Pin,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,56.42,37.035,180.0,top
J4,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,83.25,22.25,180.0,top
J5,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,65.63,22.25,180.0,top
J6,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,73.25,22.250001,180.0,top
J7,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,82.73,37.000001,180.0,top
J8,Conn_01x02_Pin,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,73.0,36.98,180.0,top
R1,10k,R_0603_1608Metric,56.0,13.75,0.0,top
R2,10k,R_0603_1608Metric,91.0,22.325,-90.0,top
R3,10k,R_0603_1608Metric,51.445,28.825,-90.0,top
R4,10k,R_0603_1608Metric,53.985,28.825,-90.0,top
R5,10k,R_0603_1608Metric,56.525,28.825,-90.0,top
R6,1M,R_1206_3216Metric,61.75,13.75,180.0,top
R7,10k,R_0603_1608Metric,56.0,11.25,180.0,top
SW1,SW_SPDT,SW_SPDT_MT-0-103-F001-T000-RS,50.0,16.0,90.0,top
U2,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,43.19,44.675,90.0,top
