Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,21.725,51.615,90.0,top
C2,0.1uF,C_0603_1608Metric,13.0,43.225,90.0,top
C3,10uF/16V,CP_EIA-3216-18_Kemet-A,15.0,44.15,90.0,top
C4,1nF,C_0603_1608Metric,55.0,44.75,-90.0,top
C5,22pF,C_0603_1608Metric,13.275,56.25,0.0,top
C6,22pF,C_0603_1608Metric,2.725,56.2,0.0,top
C7,1nF,C_0603_1608Metric,56.25,21.0,90.0,top
J1,Conn_01x09_Pin,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,67.52,39.59,-90.0,top
J4,Conn_01x09_Pin,Molex_KK-254_AE-6410-09A_1x09_P2.54mm_Vertical,67.52,14.870001,-90.0,top
R1,1M,R_0603_1608Metric,56.75,44.75,-90.0,top
R2,120,R_0603_1608Metric,33.4,50.365,180.0,top
R3,10k,R_0603_1608Metric,17.0,43.175,90.0,top
R4,1M,R_0603_1608Metric,57.75,21.0,90.0,top
U1,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,8.275,45.7625,-90.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,26.475,51.615,0.0,top
Y1,8MHz,Crystal_SMD_HC49-SD,8.0,52.7,180.0,top
