Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,13.975,30.0375,90.0,top
C2,0.1uF,C_0603_1608Metric,21.73,33.92,90.0,top
C3,10uF,C_0805_2012Metric,16.5,30.25,90.0,top
C5,22pF,C_0603_1608Metric,12.325,42.9625,0.0,top
C6,22pF,C_0603_1608Metric,4.975,43.0125,0.0,top
J1,Conn_01x03_Pin,Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical,43.5,3.75,180.0,top
J2,Conn_01x04_Pin,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,29.5,3.73,180.0,top
R1,10k,R_0603_1608Metric,18.875,29.9875,-90.0,top
R2,120,R_0603_1608Metric,31.5,40.75,180.0,top
U1,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,26.25,34.0,0.0,top
U2,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,9.175,32.1375,-90.0,top
Y1,8MHz,Crystal_SMD_HC49-SD,8.625,39.3625,180.0,top
